DY,Season,count(ID)
2012,Fall,90
2012,Spring,82
2012,Summer,87
2012,Winter,95
2013,Fall,141
2013,Spring,102
2013,Summer,118
2013,Winter,129
2014,Fall,152
2014,Spring,135
2014,Summer,121
2014,Winter,150
2015,Fall,228
2015,Spring,154
2015,Summer,189
2015,Winter,156
2016,Fall,240
2016,Spring,226
2016,Summer,231
2016,Winter,220
2017,Fall,225
2017,Spring,272
2017,Summer,271
2017,Winter,270
2018,Fall,264
2018,Spring,266
2018,Summer,270
2018,Winter,218
2019,Fall,278
2019,Spring,273
2019,Summer,372
2019,Winter,277
2020,Fall,333
2020,Spring,362
2020,Summer,359
2020,Winter,320
