DYM,Count(ID)
2012-1,31
2012-2,27
2012-3,24
2012-4,30
2012-5,28
2012-6,28
2012-7,28
2012-8,31
2012-9,27
2012-10,36
2012-11,27
2012-12,37
2013-1,35
2013-2,38
2013-3,42
2013-4,33
2013-5,27
2013-6,44
2013-7,37
2013-8,37
2013-9,39
2013-10,48
2013-11,54
2013-12,56
2014-1,47
2014-2,50
2014-3,47
2014-4,42
2014-5,46
2014-6,47
2014-7,32
2014-8,42
2014-9,46
2014-10,54
2014-11,52
2014-12,53
2015-1,51
2015-2,53
2015-3,50
2015-4,54
2015-5,50
2015-6,62
2015-7,76
2015-8,51
2015-9,66
2015-10,86
2015-11,76
2015-12,52
2016-1,70
2016-2,69
2016-3,69
2016-4,79
2016-5,78
2016-6,79
2016-7,76
2016-8,76
2016-9,73
2016-10,68
2016-11,99
2016-12,81
2017-1,85
2017-2,88
2017-3,97
2017-4,77
2017-5,98
2017-6,95
2017-7,95
2017-8,81
2017-9,67
2017-10,77
2017-11,81
2017-12,97
2018-1,63
2018-2,81
2018-3,97
2018-4,80
2018-5,89
2018-6,105
2018-7,92
2018-8,73
2018-9,92
2018-10,83
2018-11,89
2018-12,74
2019-1,79
2019-2,78
2019-3,86
2019-4,83
2019-5,104
2019-6,114
2019-7,123
2019-8,135
2019-9,93
2019-10,87
2019-11,98
2019-12,120
